date,Count
4/2/2014 - 4/3/2014,9
4/3/2014 - 4/4/2014,8
4/4/2014 - 4/5/2014,9
4/5/2014 - 4/6/2014,23
4/6/2014 - 4/7/2014,27
4/7/2014 - 4/8/2014,4
4/8/2014 - 4/9/2014,15
4/9/2014 - 4/10/2014,19
4/10/2014 - 4/11/2014,14
4/11/2014 - 4/12/2014,23
4/12/2014 - 4/13/2014,34
4/13/2014 - 4/14/2014,36
4/14/2014 - 4/15/2014,13
4/15/2014 - 4/16/2014,16
4/16/2014 - 4/17/2014,15
4/17/2014 - 4/18/2014,18
4/18/2014 - 4/19/2014,36
4/19/2014 - 4/20/2014,30
4/20/2014 - 4/21/2014,34
4/21/2014 - 4/22/2014,16
4/22/2014 - 4/23/2014,15
4/23/2014 - 4/24/2014,17
4/24/2014 - 4/25/2014,21
4/25/2014 - 4/26/2014,23
4/26/2014 - 4/27/2014,43
4/27/2014 - 4/28/2014,37
4/28/2014 - 4/29/2014,27
4/29/2014 - 4/30/2014,33
4/30/2014 - 5/1/2014,30
5/1/2014 - 5/2/2014,27
5/2/2014 - 5/3/2014,19
5/3/2014 - 5/4/2014,35
5/4/2014 - 5/5/2014,46
5/5/2014 - 5/6/2014,25
5/6/2014 - 5/7/2014,43
5/7/2014 - 5/8/2014,22
5/8/2014 - 5/9/2014,23
5/9/2014 - 5/10/2014,21
5/10/2014 - 5/11/2014,74
5/11/2014 - 5/12/2014,27
5/12/2014 - 5/13/2014,25
5/13/2014 - 5/14/2014,17
5/14/2014 - 5/15/2014,10
5/15/2014 - 5/16/2014,13
5/16/2014 - 5/17/2014,13
5/17/2014 - 5/18/2014,33
5/18/2014 - 5/19/2014,27
5/19/2014 - 5/20/2014,23
5/20/2014 - 5/21/2014,12
5/21/2014 - 5/22/2014,10
5/22/2014 - 5/23/2014,14
5/23/2014 - 5/24/2014,13
5/24/2014 - 5/25/2014,17
5/25/2014 - 5/26/2014,16
5/26/2014 - 5/27/2014,12
5/27/2014 - 5/28/2014,14
5/28/2014 - 5/29/2014,14
5/29/2014 - 5/30/2014,9
5/30/2014 - 5/31/2014,4
5/31/2014 - 6/1/2014,13
6/1/2014 - 6/2/2014,13
6/2/2014 - 6/3/2014,7
6/3/2014 - 6/4/2014,6
6/4/2014 - 6/5/2014,9
6/5/2014 - 6/6/2014,12
6/6/2014 - 6/7/2014,11
6/7/2014 - 6/8/2014,14
6/8/2014 - 6/9/2014,10
6/9/2014 - 6/10/2014,7
6/10/2014 - 6/11/2014,8
6/11/2014 - 6/12/2014,1
6/12/2014 - 6/13/2014,9
6/13/2014 - 6/14/2014,9
6/14/2014 - 6/15/2014,16
6/15/2014 - 6/16/2014,18
6/16/2014 - 6/17/2014,6
6/17/2014 - 6/18/2014,10
6/18/2014 - 6/19/2014,6
6/19/2014 - 6/20/2014,7
6/20/2014 - 6/21/2014,3
6/21/2014 - 6/22/2014,6
6/22/2014 - 6/23/2014,10
6/23/2014 - 6/24/2014,7
6/24/2014 - 6/25/2014,5
6/25/2014 - 6/26/2014,5
6/26/2014 - 6/27/2014,4
6/27/2014 - 6/28/2014,6
6/28/2014 - 6/29/2014,6
6/29/2014 - 6/30/2014,13
6/30/2014 - 7/1/2014,2
7/1/2014 - 7/2/2014,3
7/2/2014 - 7/3/2014,5
7/3/2014 - 7/4/2014,7
7/4/2014 - 7/5/2014,12
7/5/2014 - 7/6/2014,6
7/6/2014 - 7/7/2014,14
7/7/2014 - 7/8/2014,6
7/8/2014 - 7/9/2014,3
7/9/2014 - 7/10/2014,7
7/10/2014 - 7/11/2014,7
7/11/2014 - 7/12/2014,7
7/12/2014 - 7/13/2014,8
7/13/2014 - 7/14/2014,12
7/14/2014 - 7/15/2014,2
7/15/2014 - 7/16/2014,14
7/16/2014 - 7/17/2014,12
7/17/2014 - 7/18/2014,7
7/18/2014 - 7/19/2014,7
7/19/2014 - 7/20/2014,21
7/20/2014 - 7/21/2014,11
7/21/2014 - 7/22/2014,5
7/22/2014 - 7/23/2014,4
7/23/2014 - 7/24/2014,6
7/24/2014 - 7/25/2014,4
7/25/2014 - 7/26/2014,11
7/26/2014 - 7/27/2014,12
7/27/2014 - 7/28/2014,8
7/28/2014 - 7/29/2014,5
7/29/2014 - 7/30/2014,9
7/30/2014 - 7/31/2014,10
7/31/2014 - 8/1/2014,3
8/1/2014 - 8/2/2014,8
8/2/2014 - 8/3/2014,6
8/3/2014 - 8/4/2014,7
8/4/2014 - 8/5/2014,1
8/5/2014 - 8/6/2014,1
8/6/2014 - 8/7/2014,4
8/7/2014 - 8/8/2014,3
8/8/2014 - 8/9/2014,4
8/9/2014 - 8/10/2014,6
8/10/2014 - 8/11/2014,9
8/11/2014 - 8/12/2014,7
8/12/2014 - 8/13/2014,1
8/13/2014 - 8/14/2014,3
8/14/2014 - 8/15/2014,1
8/15/2014 - 8/16/2014,3
8/16/2014 - 8/17/2014,7
8/17/2014 - 8/18/2014,6
8/18/2014 - 8/19/2014,0
8/19/2014 - 8/20/2014,4
8/20/2014 - 8/21/2014,2
8/21/2014 - 8/22/2014,0
8/22/2014 - 8/23/2014,1
8/23/2014 - 8/24/2014,6
8/24/2014 - 8/25/2014,5
8/25/2014 - 8/26/2014,1
8/26/2014 - 8/27/2014,2
8/27/2014 - 8/28/2014,3
8/28/2014 - 8/29/2014,2
8/29/2014 - 8/30/2014,1
8/30/2014 - 8/31/2014,8
8/31/2014 - 9/1/2014,6
9/1/2014 - 9/2/2014,5
9/2/2014 - 9/3/2014,5
9/3/2014 - 9/4/2014,6
9/4/2014 - 9/5/2014,3
9/5/2014 - 9/6/2014,1
9/6/2014 - 9/7/2014,6
9/7/2014 - 9/8/2014,16
9/8/2014 - 9/9/2014,6
9/9/2014 - 9/10/2014,3
9/10/2014 - 9/11/2014,4
9/11/2014 - 9/12/2014,3
9/12/2014 - 9/13/2014,5
9/13/2014 - 9/14/2014,10
9/14/2014 - 9/15/2014,12
9/15/2014 - 9/16/2014,3
9/16/2014 - 9/17/2014,4
9/17/2014 - 9/18/2014,5
9/18/2014 - 9/19/2014,5
9/19/2014 - 9/20/2014,4
9/20/2014 - 9/21/2014,13
9/21/2014 - 9/22/2014,6
9/22/2014 - 9/23/2014,2
9/23/2014 - 9/24/2014,10
9/24/2014 - 9/25/2014,5
9/25/2014 - 9/26/2014,6
9/26/2014 - 9/27/2014,6
9/27/2014 - 9/28/2014,5
9/28/2014 - 9/29/2014,16
9/29/2014 - 9/30/2014,3
9/30/2014 - 10/1/2014,3
10/1/2014 - 10/2/2014,2
10/2/2014 - 10/3/2014,1
10/3/2014 - 10/4/2014,3
10/4/2014 - 10/5/2014,13
10/5/2014 - 10/6/2014,13
10/6/2014 - 10/7/2014,6
10/7/2014 - 10/8/2014,4
10/8/2014 - 10/9/2014,6
10/9/2014 - 10/10/2014,6
10/10/2014 - 10/11/2014,2
10/11/2014 - 10/12/2014,15
10/12/2014 - 10/13/2014,11
10/13/2014 - 10/14/2014,4
10/14/2014 - 10/15/2014,2
10/15/2014 - 10/16/2014,3
10/16/2014 - 10/17/2014,7
10/17/2014 - 10/18/2014,5
10/18/2014 - 10/19/2014,12
10/19/2014 - 10/20/2014,12
10/20/2014 - 10/21/2014,3
10/21/2014 - 10/22/2014,8
10/22/2014 - 10/23/2014,4
10/23/2014 - 10/24/2014,4
10/24/2014 - 10/25/2014,7
10/25/2014 - 10/26/2014,16
10/26/2014 - 10/27/2014,17
10/27/2014 - 10/28/2014,6
10/28/2014 - 10/29/2014,3
10/29/2014 - 10/30/2014,5
10/30/2014 - 10/31/2014,6
10/31/2014 - 11/1/2014,1
11/1/2014 - 11/2/2014,7
11/2/2014 - 11/3/2014,14
11/3/2014 - 11/4/2014,3
11/4/2014 - 11/5/2014,3
11/5/2014 - 11/6/2014,10
11/6/2014 - 11/7/2014,5
11/7/2014 - 11/8/2014,8
11/8/2014 - 11/9/2014,15
11/9/2014 - 11/10/2014,13
11/10/2014 - 11/11/2014,3
11/11/2014 - 11/12/2014,3
11/12/2014 - 11/13/2014,2
11/13/2014 - 11/14/2014,0
11/14/2014 - 11/15/2014,3
11/15/2014 - 11/16/2014,6
11/16/2014 - 11/17/2014,8
11/17/2014 - 11/18/2014,3
11/18/2014 - 11/19/2014,2
11/19/2014 - 11/20/2014,1
11/20/2014 - 11/21/2014,3
11/21/2014 - 11/22/2014,4
11/22/2014 - 11/23/2014,7
11/23/2014 - 11/24/2014,4
11/24/2014 - 11/25/2014,0
11/25/2014 - 11/26/2014,4
11/26/2014 - 11/27/2014,6
11/27/2014 - 11/28/2014,3
11/28/2014 - 11/29/2014,3
11/29/2014 - 11/30/2014,4
11/30/2014 - 12/1/2014,3
12/1/2014 - 12/2/2014,3
12/2/2014 - 12/3/2014,4
12/3/2014 - 12/4/2014,6
12/4/2014 - 12/5/2014,1
12/5/2014 - 12/6/2014,1
12/6/2014 - 12/7/2014,1
12/7/2014 - 12/8/2014,9
12/8/2014 - 12/9/2014,4
12/9/2014 - 12/10/2014,3
12/10/2014 - 12/11/2014,1
12/11/2014 - 12/12/2014,1
12/12/2014 - 12/13/2014,1
12/13/2014 - 12/14/2014,7
12/14/2014 - 12/15/2014,6
12/15/2014 - 12/16/2014,1
12/16/2014 - 12/17/2014,1
12/17/2014 - 12/18/2014,3
12/18/2014 - 12/19/2014,5
12/19/2014 - 12/20/2014,4
12/20/2014 - 12/21/2014,11
12/21/2014 - 12/22/2014,3
12/22/2014 - 12/23/2014,2
12/23/2014 - 12/24/2014,3
12/24/2014 - 12/25/2014,0
12/25/2014 - 12/26/2014,2
12/26/2014 - 12/27/2014,4
12/27/2014 - 12/28/2014,5
12/28/2014 - 12/29/2014,0
12/29/2014 - 12/30/2014,1
12/30/2014 - 12/31/2014,5
12/31/2014 - 1/1/2015,5
1/1/2015 - 1/2/2015,21
1/2/2015 - 1/3/2015,7
1/3/2015 - 1/4/2015,5
1/4/2015 - 1/5/2015,7
1/5/2015 - 1/6/2015,3
1/6/2015 - 1/7/2015,5
1/7/2015 - 1/8/2015,9
1/8/2015 - 1/9/2015,4
1/9/2015 - 1/10/2015,3
1/10/2015 - 1/11/2015,10
1/11/2015 - 1/12/2015,7
1/12/2015 - 1/13/2015,4
1/13/2015 - 1/14/2015,3
1/14/2015 - 1/15/2015,6
1/15/2015 - 1/16/2015,7
1/16/2015 - 1/17/2015,6
1/17/2015 - 1/18/2015,17
1/18/2015 - 1/19/2015,6
1/19/2015 - 1/20/2015,9
1/20/2015 - 1/21/2015,9
1/21/2015 - 1/22/2015,4
1/22/2015 - 1/23/2015,8
1/23/2015 - 1/24/2015,4
1/24/2015 - 1/25/2015,18
1/25/2015 - 1/26/2015,7
1/26/2015 - 1/27/2015,5
1/27/2015 - 1/28/2015,4
1/28/2015 - 1/29/2015,3
1/29/2015 - 1/30/2015,4
1/30/2015 - 1/31/2015,8
1/31/2015 - 2/1/2015,6
2/1/2015 - 2/2/2015,1
2/2/2015 - 2/3/2015,4
2/3/2015 - 2/4/2015,1
2/4/2015 - 2/5/2015,4
2/5/2015 - 2/6/2015,1
2/6/2015 - 2/7/2015,4
2/7/2015 - 2/8/2015,18
2/8/2015 - 2/9/2015,14
2/9/2015 - 2/10/2015,5
2/10/2015 - 2/11/2015,6
